,date,2772803,2772804,2772805,2772806,2772807,2772808,2772809,2772810,2772811,2772812,2772813,2772814,2772815,2772816,2772817,2772818,2772819,2772820,2772821,2772822,2772859,2772860,2772861,2772862,2772863,2772864,2772865,2772866,2772867,2772868,2772869,2772870,2772871,2772872,2772873,2772874,2772875,2772876,2772877,2772878,2772879,2772914,2772915,2772916,2772917,2772918,2772919,2772920,2772921,2772922,2772923,2772924,2772925,2772926,2772927,2772928,2772929,2772930,2772931,2772932,2772933,2772934,2772980,2772981,2772982
9,2020-05-19,96.0,96.0,96.0,0.0,-102.0,-102.0,-102.0,0.0,0.0,25.0,-48.2,97.6,97.6,0.0,80.0,-59.0,38.0,38.0,-2.0,4.0,-26.0,4.0,-26.0,6.0,22.0,20.0,-31.0,0.0,42.0,33.0,0.0,39.0,42.0,18.333333333333332,108.0,0.0,15.0,24.0,-36.0,-59.0,-36.0,-36.0,-2.0,82.0,4.0,4.0,-26.0,-112.0,-112.0,-16.0,-148.0,23.0,74.0,-22.0,42.0,0.0,0.0,-39.0,39.0,42.0,42.0,4.0,4.0,48.57142857142858,39.0
10,2020-05-20,105.0,105.0,105.0,-119.0,-99.0,-99.0,38.0,0.0,0.0,7.0,-27.2,-294.6363636363636,-294.6363636363636,0.0,27.0,0.0,38.0,-17.0,-2.0,2.0,-27.0,2.0,-27.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,38.0,-42.0,-58.0,43.0,-42.0,8.0,87.0,2.0,2.0,-25.0,-6.0,4.0,-28.0,31.5,-36.0,-56.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-11.0,0.0
11,2020-05-22,-114.0,-114.0,-114.0,-25.0,-197.0,-197.0,-197.0,0.0,0.0,13.0,-32.0,-65.6,-65.6,63.0,-23.0,-59.0,-69.0,42.0,150.0,167.0,55.0,169.0,55.0,-29.0,-27.0,50.0,28.0,-85.0,-21.0,-30.0,11.8,-21.0,-21.0,18.333333333333332,72.0,63.0,106.0,26.0,-43.0,-59.0,-43.0,-43.0,167.0,1.0,167.0,169.0,114.0,198.0,-4.0,19.0,168.5,121.0,92.0,-14.5,-21.0,21.5,21.5,-6.0,-20.0,-21.0,-21.0,169.0,169.0,-50.714285714285715,-21.0
12,2020-05-26,66.0,66.0,66.0,55.0,-97.0,-97.0,-97.0,0.0,0.0,21.0,15.8,101.88888888888889,101.88888888888889,0.0,40.0,0.0,37.0,38.0,75.0,85.0,-26.0,85.0,-26.0,0.0,-71.0,-73.0,-167.0,0.0,0.0,-64.0,-10.4,0.0,-64.0,0.0,8.0,0.0,0.0,0.0,-39.0,-63.0,-39.0,-39.0,83.0,0.0,85.0,85.0,-25.0,94.0,3.0,-28.0,76.5,-78.0,-52.0,-9.0,-64.0,0.0,0.0,0.0,-62.0,-64.0,-64.0,85.0,85.0,33.0,0.0
13,2020-05-27,114.0,114.0,114.0,208.0,-99.0,-99.0,39.0,0.0,0.0,9.0,56.2,281.0,281.0,0.0,-123.0,0.0,39.0,-104.0,74.0,86.0,-26.0,86.0,-26.0,0.0,0.0,0.0,-86.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,49.0,0.0,-68.0,-68.0,-41.0,63.0,-38.0,-38.0,84.0,5.0,86.0,86.0,-26.0,-15.0,-5.0,26.0,127.5,-48.0,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,86.0,60.0,0.0
14,2020-05-28,89.0,89.0,89.0,-177.0,-201.0,-201.0,81.0,0.0,0.0,19.0,-126.4,-27.75,-27.75,0.0,3.0,-64.0,42.0,-145.0,4.0,9.0,55.0,9.0,55.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,103.0,0.0,15.5,28.0,78.0,62.0,43.0,78.0,5.0,-86.0,9.0,9.0,-28.0,-5.0,4.0,110.0,252.0,-99.0,77.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,63.2,0.0
15,2020-06-03,-46.0,-46.0,-46.0,-91.0,-99.0,-99.0,-99.0,0.0,0.0,26.0,-48.6,-58.4,-58.4,0.0,-221.0,0.0,39.0,42.0,150.0,167.0,55.0,165.0,55.0,0.0,-133.0,-130.0,-43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-186.0,0.0,0.0,0.0,-38.0,-63.0,-39.0,-39.0,167.0,3.0,167.0,165.0,120.0,199.0,229.0,-19.0,-152.5,297.0,88.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,165.0,0.0,0.0
16,2020-06-04,130.0,130.0,130.0,129.0,202.0,130.0,38.0,0.0,0.0,52.0,-63.2,283.0,283.0,63.0,-50.0,0.0,42.0,-32.0,-2.0,2.0,-27.0,2.0,-27.0,-24.0,31.0,33.0,-133.0,0.0,40.0,38.0,0.0,38.0,40.0,31.333333333333332,40.0,63.0,0.0,0.0,-38.0,62.0,39.0,-38.0,4.0,6.0,2.0,2.0,-25.0,-11.0,-1.0,-35.0,-147.0,-30.0,1.0,0.0,40.0,34.5,34.5,-46.0,38.0,40.0,40.0,2.0,2.0,210.69230769230768,38.0
17,2020-06-05,91.0,91.0,91.0,169.0,-104.0,-104.0,46.0,0.0,0.0,-336.0,18.8,-48.22222222222222,-48.22222222222222,0.0,80.0,-64.0,39.0,42.0,-2.0,4.0,-26.0,4.0,-26.0,0.0,-122.0,-119.0,-45.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,-69.0,0.0,-68.0,-68.0,-43.0,-57.0,-43.0,-43.0,0.0,85.0,4.0,4.0,-26.0,0.0,11.0,-27.0,134.0,-98.0,-83.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,-31.799999999999997,0.0
18,2020-06-08,107.0,107.0,107.0,333.0,-102.0,-102.0,-102.0,0.0,0.0,13.0,-30.6,113.75,113.75,0.0,-53.0,0.0,39.0,38.0,-84.0,-84.0,-27.0,-84.0,-27.0,-20.0,-35.0,-33.0,-3.0,0.0,41.0,41.0,16.6,38.0,41.0,15.333333333333334,6.0,0.0,15.5,30.0,-42.0,-58.0,38.0,-42.0,-82.0,4.0,-84.0,-84.0,-25.0,-109.0,-109.0,14.0,-152.0,-99.0,83.0,85.5,41.0,0.0,0.0,41.0,38.0,41.0,41.0,-84.0,-84.0,30.0,38.0
